Designator,Mid X,Mid Y,Rotation,Layer
D67,106.695,-95.9375,0.0,top
D68,106.695,-116.5625,0.0,top
D69,106.695,-100.0625,0.0,top
D7,78.86,-83.4975,0.0,top
D70,106.695,-112.4375,0.0,top
D71,106.695,-104.1875,0.0,top
D72,106.695,-108.3125,0.0,top
D73,120.345,-153.6975,180.0,top
D74,120.345,-58.7725,180.0,top
D75,120.345,-149.5725,180.0,top
D76,120.345,-62.8975,180.0,top
D77,120.345,-145.4475,180.0,top
D78,120.345,-67.0225,180.0,top
D79,120.345,-141.3225,180.0,top
D8,78.86,-87.6225,0.0,top
D80,120.345,-71.1475,180.0,top
D81,120.345,-137.1975,180.0,top
D82,120.345,-75.2725,180.0,top
D83,120.345,-133.0725,180.0,top
D84,120.345,-79.4225,180.0,top
D85,120.345,-128.9475,180.0,top
D86,120.345,-83.5475,180.0,top
D87,120.345,-124.8225,180.0,top
D88,120.345,-87.6975,180.0,top
D89,120.345,-120.6975,180.0,top
D9,78.86,-91.7475,0.0,top
D90,120.345,-91.8225,180.0,top
D91,120.345,-116.5725,180.0,top
D92,120.345,-95.9475,180.0,top
D93,120.345,-112.4475,180.0,top
D94,120.345,-100.0725,180.0,top
D95,120.345,-108.3225,180.0,top
D96,120.345,-104.1975,180.0,top
D97,134.525,-58.725,0.0,top
D98,134.525,-153.65,0.0,top
D99,134.525,-62.85,0.0,top
J3,83.8125,-52.3825,0.0,bottom
